play_id,game_id,game_date,ep,wp,down,qtr,ydstogo,yardline_100,fourth_down_converted,fourth_down_failed,yards_gained,play_type,shotgun,no_huddle,qb_dropback,score_differential,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,goal_to_go,posteam_type,season_type,week,posteam_timeouts_remaining,defteam_timeouts_remaining,vegas_wp,vegas_home_wp,no_score_prob,fg_prob,td_prob,opp_fg_prob,opp_td_prob,season,success,shotgun_binary,no_huddle_binary,qb_dropback_binary,is_pass_play,is_rush_play,is_home,is_regular_season
4385,2014_02_MIA_BUF,2014-09-14,2.3446536911069416,0.0005434274789877236,4.0,4,2,20.0,0.0,1.0,0.0,pass,1,0,1.0,-19.0,16.0,16.0,16.0,0,away,REG,2,0.0,3.0,0.00019627225992735475,0.9998037277400726,0.2556639611721039,0.6707559823989868,0.0588587746024131,0.0048025287687778,0.0093347979709506,2014,0,1,0,1,1,0,0,1
3998,2014_02_NE_MIN,2014-09-14,2.4027466461993754,0.9997902512550354,4.0,4,8,19.0,0.0,1.0,0.0,pass,1,0,1.0,23.0,120.0,120.0,120.0,0,away,REG,2,2.0,3.0,0.999942183494568,5.7816505432128906e-05,0.1530131250619888,0.7444058060646057,0.0569621697068214,0.0195705164223909,0.024605980142951,2014,0,1,0,1,1,0,0,1
4225,2014_02_NE_MIN,2014-09-14,1.5903165590716526,0.00021279540669638664,4.0,4,24,30.0,0.0,1.0,0.0,pass,1,0,1.0,-23.0,0.0,0.0,0.0,0,home,REG,2,3.0,2.0,5.16388172400184e-05,5.16388172400184e-05,0.420858085155487,0.5308359861373901,0.0223255213350057,0.0034740755800157,0.0212150178849697,2014,0,1,0,1,1,0,1,1
600,2014_02_NO_CLE,2014-09-14,3.941304678330198,0.6903775930404663,4.0,1,1,5.0,1.0,0.0,2.0,run,0,0,0.0,0.0,402.0,1302.0,3102.0,0,home,REG,2,3.0,2.0,0.4470788240432739,0.4470788240432739,0.0032299193553626,0.5612996816635132,0.3684013783931732,0.0319065898656845,0.0326223969459533,2014,1,0,0,0,0,1,1,1
4177,2014_02_NO_CLE,2014-09-14,-0.0451820791931822,0.3448979556560516,4.0,4,6,62.0,1.0,0.0,10.0,pass,1,0,1.0,-1.0,38.0,38.0,38.0,0,home,REG,2,1.0,1.0,0.2701556980609894,0.2701556980609894,0.8536614179611206,0.044147789478302,0.0224169753491878,0.0536008700728416,0.0248455926775932,2014,1,1,0,1,1,0,1,1
1101,2014_02_NYJ_GB,2014-09-14,1.7386017518583683,0.8129432201385498,4.0,2,2,30.0,1.0,0.0,7.0,pass,1,0,1.0,11.0,822.0,822.0,2622.0,0,away,REG,2,2.0,3.0,0.6661843061447144,0.3338156938552856,0.0283857956528663,0.5961587429046631,0.1587747037410736,0.0853385105729103,0.1294971853494644,2014,1,1,0,1,1,0,0,1
4173,2014_02_NYJ_GB,2014-09-14,1.7055614599958062,0.152018517255783,4.0,4,4,36.0,1.0,0.0,6.0,pass,1,0,1.0,-7.0,306.0,306.0,306.0,0,away,REG,2,0.0,2.0,0.1054206490516662,0.8945793509483337,0.2642295062541961,0.3578380346298218,0.2072370797395706,0.0842219442129135,0.0816196650266647,2014,1,1,0,1,1,0,0,1
4262,2014_02_NYJ_GB,2014-09-14,1.7776297865784727,0.1377630084753036,4.0,4,8,28.0,0.0,1.0,0.0,pass,1,1,1.0,-7.0,217.0,217.0,217.0,0,away,REG,2,0.0,2.0,0.1036610528826713,0.8963389471173286,0.2757708132266998,0.5245252251625061,0.0986587703227996,0.051206462085247,0.0478828400373458,2014,0,1,1,1,1,0,0,1
653,2014_02_PHI_IND,2014-09-15,4.639943961868994,0.5363397002220154,4.0,1,1,1.0,1.0,0.0,1.0,pass,0,0,1.0,-3.0,322.0,1222.0,3022.0,1,home,REG,2,3.0,3.0,0.5910111665725708,0.5910111665725708,0.0025371604133397,0.4084847867488861,0.5271854400634766,0.0278862975537776,0.0286424215883016,2014,1,0,0,1,1,0,1,1
570,2014_02_PIT_BAL,2014-09-11,2.452370475511998,0.6397950649261475,4.0,1,1,35.0,1.0,0.0,3.0,run,0,0,0.0,0.0,187.0,1087.0,2887.0,0,home,REG,2,3.0,3.0,0.6126438975334167,0.6126438975334167,0.0153144439682364,0.434039831161499,0.329736053943634,0.0894026085734367,0.1275764256715774,2014,1,0,0,0,0,1,1,1
3598,2014_02_SEA_SD,2014-09-14,-1.4769833157770336,0.074529230594635,4.0,4,11,90.0,0.0,1.0,0.0,pass,1,0,1.0,-6.0,111.0,111.0,111.0,0,away,REG,2,1.0,3.0,0.0744576603174209,0.925542339682579,0.4986404776573181,0.0638939142227172,0.0404828861355781,0.1865665465593338,0.1948562413454055,2014,0,1,0,1,1,0,0,1
3049,2014_03_BAL_CLE,2014-09-21,2.736365187796764,0.419364720582962,4.0,4,1,21.0,0.0,1.0,0.0,run,0,0,0.0,-4.0,651.0,651.0,651.0,0,away,REG,3,2.0,3.0,0.4634764194488525,0.5365235805511475,0.0321572758257389,0.5467929244041443,0.2706629037857055,0.0599798336625099,0.0885916948318481,2014,0,0,0,0,0,1,0,1
4035,2014_03_CHI_NYJ,2014-09-22,-0.7580405962653458,0.0395841225981712,4.0,4,3,73.0,1.0,0.0,3.0,pass,1,0,1.0,-8.0,159.0,159.0,159.0,0,home,REG,3,2.0,2.0,0.049358207732439,0.049358207732439,0.4891253411769867,0.0801519900560379,0.0981336459517479,0.1521834731101989,0.1760168224573135,2014,1,1,0,1,1,0,1,1
4383,2014_03_CHI_NYJ,2014-09-22,2.4394669011235237,0.1170316040515899,4.0,4,5,9.0,0.0,1.0,0.0,pass,1,0,1.0,-8.0,64.0,64.0,64.0,0,home,REG,3,1.0,0.0,0.1865748316049575,0.1865748316049575,0.2401086091995239,0.6894344687461853,0.0597218386828899,0.0045184837654232,0.0049444385804235,2014,0,1,0,1,1,0,1,1
1046,2014_03_DAL_STL,2014-09-21,1.2820096334908158,0.8754678964614868,4.0,2,1,47.0,1.0,0.0,3.0,run,0,0,0.0,14.0,592.0,592.0,2392.0,0,home,REG,3,3.0,3.0,0.7850909233093262,0.7850909233093262,0.1050377041101455,0.1845340579748153,0.3587571978569031,0.1501944214105606,0.1919943243265152,2014,1,0,0,0,0,1,1,1
2329,2014_03_DAL_STL,2014-09-21,3.815634403261356,0.7974446415901184,4.0,3,1,15.0,0.0,1.0,-1.0,run,0,0,0.0,4.0,431.0,1331.0,1331.0,0,home,REG,3,3.0,3.0,0.6929624080657959,0.6929624080657959,0.0022224618587642,0.5640463829040527,0.3576954901218414,0.0325490161776542,0.040680605918169,2014,0,0,0,0,0,1,1,1
3406,2014_03_GB_DET,2014-09-21,2.466262550035026,0.0574565343558788,4.0,4,5,20.0,0.0,1.0,0.0,pass,1,0,1.0,-12.0,419.0,419.0,419.0,0,away,REG,3,2.0,3.0,0.0594043843448162,0.9405956156551838,0.047387920320034,0.801410436630249,0.0706132873892784,0.0308240819722414,0.0486366637051105,2014,0,1,0,1,1,0,0,1
287,2014_03_HOU_NYG,2014-09-21,-0.4155283262953162,0.474997341632843,4.0,1,1,61.0,1.0,0.0,10.0,pass,0,0,1.0,0.0,610.0,1510.0,3310.0,0,away,REG,3,3.0,3.0,0.516644299030304,0.483355700969696,0.0062042591162025,0.1808738559484481,0.2743111550807953,0.205677717924118,0.3236119151115417,2014,1,0,0,1,1,0,0,1
896,2014_03_HOU_NYG,2014-09-21,2.881083768326789,0.5857442617416382,4.0,2,7,12.0,0.0,1.0,0.0,run,0,0,0.0,0.0,859.0,859.0,2659.0,0,home,REG,3,3.0,3.0,0.5889624953269958,0.5889624953269958,0.0068033696152269,0.91222482919693,0.0459123365581035,0.0147136282175779,0.0191411841660738,2014,0,0,0,0,0,1,1,1
